Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1,0.43676864574297836,0.1122094925752067,0.05685919462792138,0.23194854592860614,0.3234742894441961,7.696695145602934e-11,0.7240153679944256,0.6556525522830491,0.7272727272727273,0.7586005830903791,0.7472512396370264,0.7129673227234202
2,0.4678087604012057,0.00784086070659415,0.003889714464374747,-0.06224662916117314,-0.009487856272742304,0.08472745770352547,0.7402597402597403,0.6119521668654617,0.7361053004215878,0.7660818713450293,0.7592418185290805,0.7179559067159423
3,0.44592852992032556,0.10647035435626495,0.05359528372914512,-0.225541577960661,-0.25556834669214046,2.5846267015639665e-10,0.7232323882470312,0.7259816207184628,0.7472512396370264,0.7586005830903791,0.7391534391534392,0.699079631852741
4,0.4278024758349712,0.24685529752315827,0.11956903274534054,0.3268014807935884,0.31723941246496545,1.426584998274765e-20,0.7058764920391368,0.642408419678551,0.7481668773704172,0.7586005830903791,0.7652380952380953,0.7300646551724138
5,0.4603336846905229,0.027433815245277052,0.013727846292825837,0.11636987460016761,0.031519397851525736,0.0012350225337830418,0.7185916919959473,0.6349825289917455,0.7472512396370264,0.7586005830903791,0.7472512396370264,0.7300646551724138
6,0.45312971758327375,0.0004879529915482242,0.00024046651571684892,0.015505129838213045,0.07285934303990292,0.667911099704267,0.6965088009335797,0.6082308699877466,0.7361053004215878,0.7586005830903791,0.7592418185290805,0.7051357206575762
7,0.31263671875,0.0756175690801357,0.037977799281197135,0.19128051201306573,0.21957610231203617,9.208670377683973e-08,0.699079631852741,0.685505884458764,0.7412536443148688,0.7586005830903791,0.7481668773704172,0.7111788734825384
8,0.4473215914143558,0.06204369018546397,0.03162411462373867,-0.17508484096104882,-0.20488840792618057,1.0504289257600619e-06,0.7283163265306122,0.7424714996109739,0.7342897647466176,0.7586005830903791,0.7481668773704172,0.7043565270935961
9,0.4166622259017898,0.2074167369102896,0.10197136311238314,-0.30419623432541104,-0.3403183148011295,6.605905752666488e-18,0.7043565270935961,0.7248271997011022,0.7421388522853525,0.7586005830903791,0.7532467532467533,0.7361053004215878
10,0.4662066640128771,0.003994892172465749,0.0019658805138347973,-0.04429477134532975,-0.008748542796944203,0.22014783386047726,0.7679249670568173,0.7379306663820021,0.7421388522853525,0.7586005830903791,0.7472512396370264,0.7240153679944256
11,0.4478306855798086,0.01251675649707151,0.006356004337262154,0.07947240789921522,0.0392945112386691,0.027644067183155024,0.7012987012987013,0.6941720397531562,0.7272727272727273,0.7586005830903791,0.7481668773704172,0.7300646551724138
12,0.41262671450898225,0.11713736074798761,0.05826580583136166,0.23464405249935405,0.30957519609919176,4.573633134670287e-11,0.7731741894178443,0.6693722943722944,0.7402597402597403,0.7586005830903791,0.7541909620991253,0.7103594760724745
13,0.42466840983288856,0.12246189458069139,0.061848348876701015,0.24134205470017137,0.35162981098084045,1.2201095030478404e-11,0.7172105911330049,0.7012987012987013,0.7462278627738957,0.7586005830903791,0.7472512396370264,0.7043565270935961
14,0.42803858685351764,0.2618804231966883,0.12351092423591434,-0.3315614817123632,-0.31291442863154656,3.660553898722851e-21,0.7024416909620991,0.6031987998451414,0.7481668773704172,0.7586005830903791,0.7472512396370264,0.7257243306023794
15,0.4363737824993905,0.0799629799148746,0.039105333385235086,0.19399397443522556,0.22091918845973604,5.995939024452159e-08,0.72468987595038,0.6612754443146179,0.7352523582612078,0.7586005830903791,0.7412536443148688,0.743596278832675
16,0.41668141808166875,0.20127225168246812,0.10013822544413058,0.30170077277996055,0.3866855916249338,1.2598709651268902e-17,0.6717407395488043,0.6623708445642409,0.7352523582612078,0.7586005830903791,0.7532467532467533,0.7300646551724138
17,0.4616794444556157,0.00012865416891426717,6.381285957130142e-05,0.00798804859767659,0.07090016232903795,0.8250813393473124,0.7592418185290805,0.5729467900520532,0.72924579489962,0.7586005830903791,0.7722557742842653,0.7318878900052882
18,0.40355145826598643,0.010574199643756041,0.005433491676525517,0.07351275665796943,0.15709179171583332,0.04168179609962411,0.7697568389057751,0.637012987012987,0.7402597402597403,0.7586005830903791,0.7602127145274353,0.72468987595038
19,0.3747268755690608,0.22258038579481565,0.11110009924191577,-0.3162136300483537,-0.409850747199941,2.699526643228102e-19,0.7692366509494074,0.6151337247227658,0.7213282898562086,0.7586005830903791,0.7592418185290805,0.6974865638979179
20,0.4588732945376302,0.037755079401498644,0.01919560357402901,0.13723728733263435,0.060845499058183775,0.00013612691369514532,0.7240153679944256,0.636724094942136,0.7541909620991253,0.7586005830903791,0.7532467532467533,0.7441742654508612
21,0.42769247977625535,0.006117078515053294,0.0029548113475282405,-0.05427805898420154,-0.03670691407337574,0.1328762878863753,0.7240153679944256,0.6846136517233611,0.7402597402597403,0.7586005830903791,0.7472512396370264,0.7240153679944256
22,0.4403923959697916,0.15876781268048193,0.07915628932424412,-0.2708324889946301,-0.3087619512758139,2.2325076215664207e-14,0.6905666227424231,0.6106753059231083,0.7352523582612078,0.7586005830903791,0.7472512396370264,0.7421388522853525
23,0.4587242853298072,0.028335302142525116,0.014217288308921727,-0.11839761219099112,-0.05146853980681118,0.001011329888159369,0.7462278627738957,0.6106753059231083,0.7412536443148688,0.7586005830903791,0.7481668773704172,0.685505884458764
24,0.42033340826731985,0.12365392012061581,0.0618153756228046,-0.24128115370919234,-0.3311261839187064,1.2350803270868453e-11,0.6811580839979715,0.60999000999001,0.7283163265306122,0.7586005830903791,0.7481668773704172,0.72468987595038
25,0.4300545153657554,0.13353165436611428,0.06644299861779411,-0.24960644684906014,-0.28750668884661845,2.2603634819125956e-12,0.6965088009335797,0.7028863432165319,0.7412536443148688,0.751041746644424,0.7532467532467533,0.7252586985207305
26,0.4348900549072841,0.1072353212732052,0.05459109761776073,0.2275195664217814,0.18667665263902067,1.785066381825471e-10,0.7272727272727273,0.6212406015037594,0.7342897647466176,0.7586005830903791,0.7532467532467533,0.6997013681505659
27,0.46283948062464586,0.03168082851740699,0.015693681258944023,0.12430284720377524,0.06609462473635029,0.0005552749241609214,0.6681441282427867,0.7142857142857143,0.7481668773704172,0.7586005830903791,0.7481668773704172,0.7313829787234042
28,0.45583126317036576,0.06158286996427345,0.031416721986313595,0.17452726261604684,0.13143761410563917,1.1378879481196771e-06,0.7352523582612078,0.638752052545156,0.7402597402597403,0.7586005830903791,0.7412536443148688,0.7051357206575762
29,0.37267193520293573,0.2994280755537207,0.14521577205234765,-0.3560928218572783,-0.4138800056430406,2.2411342147217674e-24,0.7185916919959473,0.7189486479485084,0.7368518625063128,0.7586005830903791,0.7481668773704172,0.7185916919959473
30,0.4589830093235469,0.048760144562150866,0.024375673444077317,0.15425837420093053,0.1163679410906212,1.7572341187569344e-05,0.72924579489962,0.6781609195402298,0.7283163265306122,0.7586005830903791,0.720199951263526,0.7051357206575762
31,0.3758303099887055,0.14845037560305535,0.07371059924569323,0.26201211039164496,0.357125374484273,1.6002529615735078e-13,0.7172105911330049,0.6965088009335797,0.7402597402597403,0.7586005830903791,0.7481668773704172,0.7051357206575762
32,0.4578712508606308,0.0225636443929601,0.010874692678818397,0.10371936871167896,0.0960121767236468,0.0040091923708955885,0.7051357206575762,0.6210757594963451,0.7481668773704172,0.7586005830903791,0.7532467532467533,0.7223378391519985
33,0.4330555555555556,0.18921066503964454,0.0916630946298878,0.2897696987283751,0.30563219089493526,2.533493329083349e-16,0.7283163265306122,0.6405157124922783,0.7462278627738957,0.7586005830903791,0.7421388522853525,0.7252586985207305
34,0.45557157474831633,0.06935025486371606,0.03492955996300887,0.18371352482839234,0.1533089710979997,2.949885090607497e-07,0.713068783068783,0.692804336129765,0.7352523582612078,0.7586005830903791,0.7532467532467533,0.7232323882470312
