Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1,0.4588879617216533,0.07377538102640878,0.03464972122765948,-0.1830008867524052,-0.1551530063445521,1.163333842042058e-08,0.815167118580022,0.8950509792045226,0.8905539311241065,0.866838088918381,0.6340185862455977,0.994782461632168
2,0.4346951708427896,0.06449153566833551,0.02879957201123962,-0.16731219064565692,-0.1708261488493747,1.903000335023881e-07,0.87906121751026,0.9047272978959024,0.9083838724168913,0.866838088918381,0.6205357142857143,0.9895457551707553
3,0.39879057036100096,0.008220115707526544,0.003511948837106524,-0.05915791470360213,-0.09804438993021873,0.06721358730787497,0.8904316942755294,0.8950509792045226,0.914476702957494,0.8607780789546844,0.6293154469145518,0.994782461632168
4,0.4700215699675204,0.0036737645079053926,0.0017447945763494445,0.04173431435904727,0.04038848260858132,0.19683596204614232,0.8468527553948751,0.9156901041666666,0.9135232148167027,0.866838088918381,0.6293154469145518,0.9895833333333334
5,0.39939938078526704,0.0062576403858326714,0.002790802707892417,0.05275438300829755,0.05641855396599351,0.1027140756333458,0.8419189453125,0.925545388751034,0.8854523597866494,0.8607780789546844,0.6293154469145518,0.9842887261261805
6,0.435392974251648,0.03073328491499023,0.013469321807935105,-0.11528360517343883,-0.11639053295332331,0.0003495888676548443,0.8530713708863314,0.9204198841698842,0.9078445612855726,0.872843654093654,0.6293154469145518,0.9790101958409045
7,0.3958806080946581,0.0022302953165924473,0.0009808662844877393,0.031303441664761636,0.04443367627126327,0.3331127715773504,0.7901019584090451,0.9102240290245821,0.8970027449662282,0.866838088918381,0.6293154469145518,0.9895457551707553
8,0.466253020349303,4.877671596975755e-05,2.263323246432761e-05,0.004757323504819461,0.013206367545814593,0.8830884153366445,0.8468527553948751,0.9204198841698842,0.9135232148167027,0.866838088918381,0.6167498688438586,0.9895457551707553
9,0.43993473434512076,0.01382302824442386,0.006032103941320557,0.07743343467896993,0.07965858814571529,0.01652281501530883,0.8362908764565908,0.9251671150878072,0.8810944203729663,0.866838088918381,0.6293154469145518,0.9842887261261805
10,0.4593500348294523,0.041424444932028515,0.018553789476541443,-0.1349659771139396,-0.13195263092622916,2.7754901331399896e-05,0.8679765132714442,0.9262288411458334,0.8686647173489278,0.866838088918381,0.6293154469145518,1.0
11,0.42922050581899646,0.018788822622340502,0.008239573894151768,0.09040043288821414,0.12831988838209518,0.005108397454012351,0.8536405723905723,0.9258990094745908,0.9032670454545454,0.866838088918381,0.6293154469145518,0.9842887261261805
12,0.4050406162648605,0.01833697908136603,0.007951537561134007,0.0888189682331503,0.09131033224469524,0.005942521431772029,0.8773761408591098,0.9258990094745908,0.8817708333333334,0.866838088918381,0.6254584829093178,0.9842887261261805
13,0.4205917009232135,0.041680790597672615,0.0186471738100864,0.13529899735690173,0.13382452446425455,2.6505459393406455e-05,0.9051513671875,0.9364848652639349,0.8970027449662282,0.866838088918381,0.6293154469145518,0.994782461632168
14,0.3886258125237089,0.01969297741423481,0.008541578116833244,0.0920284581180733,0.08871664924921092,0.00436151079428837,0.8524576822916666,0.9258990094745908,0.9088902549518693,0.866838088918381,0.6205357142857143,0.9790915103415103
