Feature Number,gini,fisher,f_ratio,pearson,spearman,p_value,F1 Score Decision Tree,F1 Score Neural Network,F1 Score Random Forest,F1 Score SVM,F1 Score Logistic Regression,F1 Score XGBoost
1,0.1640207608969514,0.925502755911066,0.10149523886829101,-0.3035509346645201,-0.30333526874805805,5.664923816462178e-13,0.8957263434955126,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
2,0.16352738982052473,0.930204405392917,0.1018664085846352,-0.3040542748024707,-0.30384593418366085,5.165819727193011e-13,0.8957263434955126,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
3,0.1611169839230952,0.9376969788823976,0.10209098455803778,-0.304358183383172,-0.3060162622849727,4.885593180122403e-13,0.8755944322954633,0.863823419378975,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032
4,0.1640207608969514,0.9213691086776148,0.100917871440604,0.3027655973460348,0.3029097142183891,6.539359046620295e-13,0.914685190132692,0.858717253839205,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
5,0.1640207608969514,0.9155935338792535,0.10033056423136434,-0.30196399263618773,-0.30146282881751446,7.567870375988388e-13,0.9039990655219311,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
6,0.1640207608969514,0.9192307144914169,0.10060762841200102,0.3023425262448309,0.302526715141687,7.063845046176023e-13,0.8957263434955126,0.8540305010893247,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
7,0.16451753982367262,0.912524569145292,0.10015240794044289,0.3017200406751375,0.3021437160649849,7.911176143427487e-13,0.8957263434955126,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8956675508399647
8,0.16727015207690765,0.9568910724098749,0.10358443039332355,-0.3063687909274898,-0.30844192310408597,3.372535160214303e-13,0.8865443501622821,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
9,0.1640207608969514,0.9132236699800637,0.10012462051055078,-0.30168203268943417,-0.30188838334718354,7.966018324937786e-13,0.8957263434955126,0.8540305010893247,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
10,0.16451753982367262,0.9273165435574906,0.10153642344703676,0.3036069058701119,0.30333526874805805,5.607171235760831e-13,0.9003120336453669,0.8540305010893247,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
11,0.1640207608969514,0.9136538970565535,0.09999959870760702,-0.3015107593195103,-0.30188838334718354,8.217802548403344e-13,0.8957263434955126,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
12,0.16303740469250688,0.9230146197429913,0.10116973618214693,0.30310853364931833,0.3026969369535546,6.142364648804955e-13,0.9074074074074074,0.8933666562532542,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
13,0.1626104697536624,0.9351308980793446,0.10448412966694637,0.3075709951222846,0.3066120386265093,2.698486537749208e-13,0.8667295300958666,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8667295300958666
14,0.16501774860416568,0.9244882314319605,0.101197269447162,0.3031459740193204,0.3026543815005877,6.100478267800497e-13,0.8957263434955126,0.8798225308641976,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
15,0.16303740469250688,0.9101878671886383,0.09974752226949835,0.3011649638909839,0.3009096079289448,8.75011288370746e-13,0.8957263434955126,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
16,0.16451753982367262,0.9143484636507266,0.09996369515560755,-0.3014615833798306,-0.301675606082349,8.291522864414735e-13,0.9074074074074074,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8724825621377345
17,0.16352738982052473,0.9202437836836579,0.1008261483612508,0.3026406186665635,0.30235649332981934,6.690195406989671e-13,0.8957263434955126,0.8492975734355044,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
18,0.16352738982052473,0.9204499726169502,0.10100768157923286,-0.30288801122213216,-0.30316504693619045,6.394847437388629e-13,0.8933666562532542,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.858717253839205
19,0.16352738982052473,0.9149632208854402,0.10038552131928799,0.30203904738315696,0.30180327244124966,7.465212996736285e-13,0.8957263434955126,0.8767674968583331,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
20,0.1640207608969514,0.9154880133141837,0.10028221012404273,-0.30189781956803463,-0.30227138242388557,7.659524960814985e-13,0.8957263434955126,0.8540305010893247,0.8633585041352032,0.8633585041352032,0.8633585041352032,0.888941275079889
